Packet Loss,delay,RTT Loss,bufferKB,bufferMS,Message size,Batch size,message timeout,acks,retry times,retry backoff,Number of Received messages,Number of nonidentical messages,Number of lost messages,Percentage of lost messages,Number of redundant messages,Percentage of redundant messages,Number of duplicated messages,Percentage of duplicated messages,total time seconds
20.5,30,0.367975,1048576,0.5,102,9,2000,1,1,40,117289,117289,882711,0.882711,0,0,0,0,268.6983168
21,30,0.3759,1048576,0.5,102,9,2000,1,1,40,114090,113994,886006,0.886006,96,0.000841441,96,9.60E-05,265.9193318
21.5,30,0.383775,1048576,0.5,102,9,2000,1,1,40,108137,108137,891863,0.891863,0,0,0,0,270.8832955
22,30,0.3916,1048576,0.5,102,9,2000,1,1,40,102294,102294,897706,0.897706,0,0,0,0,268.5984218
22.5,30,0.399375,1048576,0.5,102,9,2000,1,1,40,96161,96161,903839,0.903839,0,0,0,0,266.734349
23,30,0.4071,1048576,0.5,102,9,2000,1,1,40,93931,93931,906069,0.906069,0,0,0,0,269.0907328
23.5,30,0.414775,1048576,0.5,102,9,2000,1,1,40,97951,97695,902305,0.902305,256,0.002613552,256,0.000256,269.2802846
24,30,0.4224,1048576,0.5,102,9,2000,1,1,40,87224,87224,912776,0.912776,0,0,0,0,267.7369561
24.5,30,0.429975,1048576,0.5,102,9,2000,1,1,40,85106,85106,914894,0.914894,0,0,0,0,267.7501717
25,30,0.4375,1048576,0.5,102,9,2000,1,1,40,71379,71379,928621,0.928621,0,0,0,0,264.8730793
0.5,30,0.009975,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,257.5349085
1,30,0.0199,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,259.7183855
1.5,30,0.029775,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,260.8138404
2,30,0.0396,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,285.8772862
2.5,30,0.049375,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,281.1305664
3,30,0.0591,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,285.887526
3.5,30,0.068775,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,287.273175
4,30,0.0784,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,287.9231257
4.5,30,0.087975,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,288.8197298
5,30,0.0975,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,282.656631
5.5,30,0.106975,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,285.928282
6,30,0.1164,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,290.3130457
6.5,30,0.125775,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,286.0794005
7,30,0.1351,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,288.0142813
7.5,30,0.144375,1048576,0.5,102,10,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,285.494977
8,30,0.1536,1048576,0.5,102,10,2000,1,1,40,998663,998663,1337,0.001337,0,0,0,0,282.3901246
8.5,30,0.162775,1048576,0.5,102,10,2000,1,1,40,999751,999751,249,0.000249,0,0,0,0,286.0727468
9,30,0.1719,1048576,0.5,102,10,2000,1,1,40,1001136,1000000,0,0,1136,0.001134711,1136,0.001136,288.0640545
9.5,30,0.180975,1048576,0.5,102,10,2000,1,1,40,1000055,999015,985,0.000985,1040,0.001039943,1040,0.00104,286.6448915
10,30,0.19,1048576,0.5,102,10,2000,1,1,40,1000264,999388,612,0.000612,876,0.000875769,876,0.000876,285.1295557
10.5,30,0.198975,1048576,0.5,102,10,2000,1,1,40,996562,996562,3438,0.003438,0,0,0,0,262.4277742
11,30,0.2079,1048576,0.5,102,10,2000,1,1,40,988386,988319,11681,0.011681,67,6.78E-05,67,6.70E-05,263.638494
11.5,30,0.216775,1048576,0.5,102,10,2000,1,1,40,968958,967217,32783,0.032783,1741,0.001796776,1741,0.001741,263.1439219
12,30,0.2256,1048576,0.5,102,10,2000,1,1,40,953587,952102,47898,0.047898,1485,0.001557278,1485,0.001485,261.1952753
12.5,30,0.234375,1048576,0.5,102,10,2000,1,1,40,938434,934403,65597,0.065597,4031,0.004295454,4031,0.004031,269.4580674
13,30,0.2431,1048576,0.5,102,10,2000,1,1,40,625790,623310,376690,0.37669,2480,0.003962991,2480,0.00248,269.5662961
13.5,30,0.251775,1048576,0.5,102,10,2000,1,1,40,676254,673519,326481,0.326481,2735,0.004044338,2735,0.002735,270.9692726
14,30,0.2604,1048576,0.5,102,10,2000,1,1,40,387339,387083,612917,0.612917,256,0.00066092,256,0.000256,266.494539
14.5,30,0.268975,1048576,0.5,102,10,2000,1,1,40,398236,395411,604589,0.604589,2825,0.007093784,2825,0.002825,268.9696708
15,30,0.2775,1048576,0.5,102,10,2000,1,1,40,306483,306483,693517,0.693517,0,0,0,0,262.045568
15.5,30,0.285975,1048576,0.5,102,10,2000,1,1,40,325396,324446,675554,0.675554,950,0.00291952,950,0.00095,272.4341719
16,30,0.2944,1048576,0.5,102,10,2000,1,1,40,213692,212453,787547,0.787547,1239,0.005798065,1239,0.001239,269.1477101
16.5,30,0.302775,1048576,0.5,102,10,2000,1,1,40,260806,260226,739774,0.739774,580,0.002223875,580,0.00058,268.8668044
17,30,0.3111,1048576,0.5,102,10,2000,1,1,40,207059,206989,793011,0.793011,70,0.000338068,70,7.00E-05,268.9084747
17.5,30,0.319375,1048576,0.5,102,10,2000,1,1,40,190316,189405,810595,0.810595,911,0.004786776,911,0.000911,269.2904301
18,30,0.3276,1048576,0.5,102,10,2000,1,1,40,174295,174074,825926,0.825926,221,0.001267965,221,0.000221,268.4774163
18.5,30,0.335775,1048576,0.5,102,10,2000,1,1,40,155402,155402,844598,0.844598,0,0,0,0,274.3376541
19,30,0.3439,1048576,0.5,102,10,2000,1,1,40,145110,145014,854986,0.854986,96,0.000661567,96,9.60E-05,266.6881552
19.5,30,0.351975,1048576,0.5,102,10,2000,1,1,40,129746,129746,870254,0.870254,0,0,0,0,270.512038
20,30,0.36,1048576,0.5,102,10,2000,1,1,40,119546,119028,880972,0.880972,518,0.00433306,518,0.000518,272.7122262
20.5,30,0.367975,1048576,0.5,102,10,2000,1,1,40,114231,113762,886238,0.886238,469,0.004105716,469,0.000469,267.9683566
21,30,0.3759,1048576,0.5,102,10,2000,1,1,40,108490,108490,891510,0.89151,0,0,0,0,268.033298
21.5,30,0.383775,1048576,0.5,102,10,2000,1,1,40,118169,118169,881831,0.881831,0,0,0,0,270.0932789
22,30,0.3916,1048576,0.5,102,10,2000,1,1,40,116718,116718,883282,0.883282,0,0,0,0,269.71944
22.5,30,0.399375,1048576,0.5,102,10,2000,1,1,40,101475,100836,899164,0.899164,639,0.006297118,639,0.000639,265.8212271
23,30,0.4071,1048576,0.5,102,10,2000,1,1,40,89290,89142,910858,0.910858,148,0.00165752,148,0.000148,271.7479699
23.5,30,0.414775,1048576,0.5,102,10,2000,1,1,40,84071,84071,915929,0.915929,0,0,0,0,274.4828849
24,30,0.4224,1048576,0.5,102,10,2000,1,1,40,93064,92432,907568,0.907568,632,0.006791026,632,0.000632,278.7131996
24.5,30,0.429975,1048576,0.5,102,10,2000,1,1,40,99722,99722,900278,0.900278,0,0,0,0,281.1783829
25,30,0.4375,1048576,0.5,102,10,2000,1,1,40,86894,86814,913186,0.913186,80,0.000920662,80,8.00E-05,282.0210123
