Packet Loss,delay,RTT Loss,bufferKB,bufferMS,Message size,Batch size,message timeout,acks,retry times,retry backoff,Number of Received messages,Number of nonidentical messages,Number of lost messages,Percentage of lost messages,Number of redundant messages,Percentage of redundant messages,Number of duplicated messages,Percentage of duplicated messages,
0,30,0,1048576,0.5,102,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,245.5004778
0,30,0,1048576,0.5,202,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,768.7913043
0,30,0,1048576,0.5,302,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,1280.601455
0,30,0,1048576,0.5,402,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,1797.519016
0,30,0,1048576,0.5,502,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,2309.506784
0,30,0,1048576,0.5,602,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,2825.064435
0,30,0,1048576,0.5,702,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,3333.788421
0,30,0,1048576,0.5,802,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,3869.776083
0,30,0,1048576,0.5,902,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,4688.23939
0,30,0,1048576,0.5,1002,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,5530.267234
0,30,0,1048576,0.5,1102,1,7000,0,0,40,1000000,1000000,0,0,0,0,0,0,5372.631901
